,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,result
305,27955,27937,27959,27965,27717,27654,27692,27591,27606,27607,27642
306,27937,27959,27965,27717,27654,27692,27591,27606,27607,27642,27682
307,27959,27965,27717,27654,27692,27591,27606,27607,27642,27682,27656
308,27965,27717,27654,27692,27591,27606,27607,27642,27682,27656,27694
309,27717,27654,27692,27591,27606,27607,27642,27682,27656,27694,27674
310,27654,27692,27591,27606,27607,27642,27682,27656,27694,27674,27673
311,27692,27591,27606,27607,27642,27682,27656,27694,27674,27673,27664
312,27591,27606,27607,27642,27682,27656,27694,27674,27673,27664,27646
313,27606,27607,27642,27682,27656,27694,27674,27673,27664,27646,27683
314,27607,27642,27682,27656,27694,27674,27673,27664,27646,27683,27665
315,27642,27682,27656,27694,27674,27673,27664,27646,27683,27665,27680
316,27682,27656,27694,27674,27673,27664,27646,27683,27665,27680,27688
317,27656,27694,27674,27673,27664,27646,27683,27665,27680,27688,27649
318,27694,27674,27673,27664,27646,27683,27665,27680,27688,27649,27641
319,27674,27673,27664,27646,27683,27665,27680,27688,27649,27641,27660
320,27673,27664,27646,27683,27665,27680,27688,27649,27641,27660,27664
321,27664,27646,27683,27665,27680,27688,27649,27641,27660,27664,27670
322,27646,27683,27665,27680,27688,27649,27641,27660,27664,27670,27661
323,27683,27665,27680,27688,27649,27641,27660,27664,27670,27661,27689
324,27665,27680,27688,27649,27641,27660,27664,27670,27661,27689,27721
325,27680,27688,27649,27641,27660,27664,27670,27661,27689,27721,27722
326,27688,27649,27641,27660,27664,27670,27661,27689,27721,27722,27738
327,27649,27641,27660,27664,27670,27661,27689,27721,27722,27738,27729
328,27641,27660,27664,27670,27661,27689,27721,27722,27738,27729,27738
329,27660,27664,27670,27661,27689,27721,27722,27738,27729,27738,27733
330,27664,27670,27661,27689,27721,27722,27738,27729,27738,27733,27749
331,27670,27661,27689,27721,27722,27738,27729,27738,27733,27749,27751
332,27661,27689,27721,27722,27738,27729,27738,27733,27749,27751,27737
333,27689,27721,27722,27738,27729,27738,27733,27749,27751,27737,27740
334,27721,27722,27738,27729,27738,27733,27749,27751,27737,27740,27753
335,27722,27738,27729,27738,27733,27749,27751,27737,27740,27753,27766
336,27738,27729,27738,27733,27749,27751,27737,27740,27753,27766,27775
337,27729,27738,27733,27749,27751,27737,27740,27753,27766,27775,27745
338,27738,27733,27749,27751,27737,27740,27753,27766,27775,27745,27740
339,27733,27749,27751,27737,27740,27753,27766,27775,27745,27740,27732
340,27749,27751,27737,27740,27753,27766,27775,27745,27740,27732,27738
341,27751,27737,27740,27753,27766,27775,27745,27740,27732,27738,27744
342,27737,27740,27753,27766,27775,27745,27740,27732,27738,27744,27739
343,27740,27753,27766,27775,27745,27740,27732,27738,27744,27739,27769
344,27753,27766,27775,27745,27740,27732,27738,27744,27739,27769,27786
345,27766,27775,27745,27740,27732,27738,27744,27739,27769,27786,27781
346,27775,27745,27740,27732,27738,27744,27739,27769,27786,27781,27759
347,27745,27740,27732,27738,27744,27739,27769,27786,27781,27759,27728
348,27740,27732,27738,27744,27739,27769,27786,27781,27759,27728,27725
349,27732,27738,27744,27739,27769,27786,27781,27759,27728,27725,27709
350,27738,27744,27739,27769,27786,27781,27759,27728,27725,27709,27715
351,27744,27739,27769,27786,27781,27759,27728,27725,27709,27715,27729
352,27739,27769,27786,27781,27759,27728,27725,27709,27715,27729,27735
353,27769,27786,27781,27759,27728,27725,27709,27715,27729,27735,27756
354,27786,27781,27759,27728,27725,27709,27715,27729,27735,27756,27771
355,27781,27759,27728,27725,27709,27715,27729,27735,27756,27771,27773
356,27759,27728,27725,27709,27715,27729,27735,27756,27771,27773,27781
357,27728,27725,27709,27715,27729,27735,27756,27771,27773,27781,27775
358,27725,27709,27715,27729,27735,27756,27771,27773,27781,27775,27774
359,27709,27715,27729,27735,27756,27771,27773,27781,27775,27774,27773
360,27715,27729,27735,27756,27771,27773,27781,27775,27774,27773,27769
361,27729,27735,27756,27771,27773,27781,27775,27774,27773,27769,27759
362,27735,27756,27771,27773,27781,27775,27774,27773,27769,27759,27787
363,27756,27771,27773,27781,27775,27774,27773,27769,27759,27787,27773
364,27771,27773,27781,27775,27774,27773,27769,27759,27787,27773,27758
365,27773,27781,27775,27774,27773,27769,27759,27787,27773,27758,27764
366,27781,27775,27774,27773,27769,27759,27787,27773,27758,27764,27746
367,27775,27774,27773,27769,27759,27787,27773,27758,27764,27746,27723
368,27774,27773,27769,27759,27787,27773,27758,27764,27746,27723,27735
369,27773,27769,27759,27787,27773,27758,27764,27746,27723,27735,27730
370,27769,27759,27787,27773,27758,27764,27746,27723,27735,27730,27734
371,27759,27787,27773,27758,27764,27746,27723,27735,27730,27734,27729
372,27787,27773,27758,27764,27746,27723,27735,27730,27734,27729,27737
373,27773,27758,27764,27746,27723,27735,27730,27734,27729,27737,27727
374,27758,27764,27746,27723,27735,27730,27734,27729,27737,27727,27702
375,27764,27746,27723,27735,27730,27734,27729,27737,27727,27702,27695
376,27746,27723,27735,27730,27734,27729,27737,27727,27702,27695,27698
377,27723,27735,27730,27734,27729,27737,27727,27702,27695,27698,27704
378,27735,27730,27734,27729,27737,27727,27702,27695,27698,27704,27704
379,27730,27734,27729,27737,27727,27702,27695,27698,27704,27704,27705
380,27734,27729,27737,27727,27702,27695,27698,27704,27704,27705,27701
381,27729,27737,27727,27702,27695,27698,27704,27704,27705,27701,27681
382,27737,27727,27702,27695,27698,27704,27704,27705,27701,27681,27658
383,27727,27702,27695,27698,27704,27704,27705,27701,27681,27658,27650
384,27702,27695,27698,27704,27704,27705,27701,27681,27658,27650,27653
385,27695,27698,27704,27704,27705,27701,27681,27658,27650,27653,27635
386,27698,27704,27704,27705,27701,27681,27658,27650,27653,27635,27613
387,27704,27704,27705,27701,27681,27658,27650,27653,27635,27613,27631
388,27704,27705,27701,27681,27658,27650,27653,27635,27613,27631,27648
389,27705,27701,27681,27658,27650,27653,27635,27613,27631,27648,27661
390,27701,27681,27658,27650,27653,27635,27613,27631,27648,27661,27662
391,27681,27658,27650,27653,27635,27613,27631,27648,27661,27662,27669
392,27658,27650,27653,27635,27613,27631,27648,27661,27662,27669,27644
