,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,result
274,28171,28198,28194,28203,28196,28198,28198,28198,28194,28212,28219
275,28174,28161,28161,28141,28138,28130,28128,28131,28129,28124,28128
276,28125,28127,28126,28123,28121,28116,28105,28099,28092,28110,28085
277,28092,28104,28103,28117,28138,28134,28147,28158,28150,28150,28144
278,28150,28150,28144,28133,28139,28158,28155,28173,28168,28163,28149
279,28133,28139,28158,28155,28173,28168,28163,28149,28122,28071,28069
280,28069,28081,28082,28089,28090,28099,28096,28082,28081,28083,28075
281,28089,28082,28086,28094,28094,28094,28077,28071,28078,28080,28083
282,28082,28086,28094,28094,28094,28077,28071,28078,28080,28083,28089
283,28089,28121,28116,28111,28110,28096,28083,28065,28068,28075,28089
284,28116,28111,28110,28096,28083,28065,28068,28075,28089,28100,28098
285,28111,28110,28096,28083,28065,28068,28075,28089,28100,28098,28098
286,28100,28098,28098,28084,28085,28081,28093,28093,28091,28096,28118
287,28098,28084,28085,28081,28093,28093,28091,28096,28118,28124,28106
288,28145,28141,28156,28153,28151,28152,28161,28150,28158,28169,28165
289,28151,28152,28161,28150,28158,28169,28165,28168,28151,28152,28155
290,28187,28153,28159,28168,28167,28171,28174,28161,28158,28157,28151
291,28167,28171,28174,28161,28158,28157,28151,28152,28157,28159,28170
292,28151,28152,28157,28159,28170,28182,28174,28179,28174,28174,28196
293,28157,28159,28170,28182,28174,28179,28174,28174,28196,28224,28219
294,28179,28174,28174,28196,28224,28219,28254,28250,28241,28224,28212
295,28251,28251,28268,28221,28232,28221,28206,28202,28192,28195,28201
296,28206,28202,28192,28195,28201,28225,28211,28209,28205,28209,28205
297,28189,28189,28188,28185,28197,28203,28197,28204,28201,28197,28177
298,28204,28201,28197,28177,28180,28189,28199,28195,28189,28173,28153
299,28167,28170,28170,28170,28179,28168,28158,28139,28136,28173,28184
300,28170,28179,28168,28158,28139,28136,28173,28184,28187,28183,28192
301,28204,28223,28209,28206,28197,28199,28205,28201,28206,28205,28197
302,28197,28185,28192,28204,28205,28206,28204,28198,28201,28195,28201
303,28205,28206,28204,28198,28201,28195,28201,28206,28211,28211,28204
304,28211,28204,28206,28207,28195,28194,28174,28168,28179,28162,28160
305,28162,28160,28156,28154,28155,28169,28170,28169,28162,28158,28159
306,28169,28162,28158,28159,28157,28157,28157,28161,28176,28176,28169
307,28157,28157,28157,28161,28176,28176,28169,28172,28170,28170,28164
308,28176,28176,28169,28172,28170,28170,28164,28155,28149,28143,28143
309,28172,28170,28170,28164,28155,28149,28143,28143,28137,28151,28150
310,28143,28143,28137,28151,28150,28158,28155,28152,28143,28137,28115
311,28152,28143,28137,28115,28088,28076,28081,28091,28086,28084,28084
312,28115,28088,28076,28081,28091,28086,28084,28084,28098,28078,28086
313,28086,28083,28074,28068,28062,28066,28060,28061,28054,28060,28053
314,28054,28060,28053,28062,28068,28096,28094,28081,28091,28093,28100
315,28097,28101,28109,28106,28106,28136,28138,28138,28133,28135,28136
316,28136,28134,28126,28126,28131,28122,28125,28132,28127,28116,28115
317,28126,28126,28131,28122,28125,28132,28127,28116,28115,28111,28113
318,28126,28131,28122,28125,28132,28127,28116,28115,28111,28113,28106
319,28111,28113,28106,28104,28101,28076,28091,28125,28129,28124,28115
320,28128,28165,28166,28233,28196,28201,28190,28199,28208,28222,28266
321,28381,28359,28400,28400,28404,28404,28396,28427,28452,28443,28432
322,28400,28404,28404,28396,28427,28452,28443,28432,28400,28401,28435
323,28401,28435,28416,28432,28457,28590,28636,28638,28650,28631,28646
324,28556,28613,28646,28622,28626,28613,28636,28621,28620,28592,28590
325,28544,28557,28555,28581,28588,28611,28592,28576,28574,28566,28554
326,28611,28592,28576,28574,28566,28554,28604,28598,28599,28575,28592
327,28596,28612,28622,28614,28572,28555,28581,28577,28563,28547,28551
328,28612,28622,28614,28572,28555,28581,28577,28563,28547,28551,28555
329,28581,28577,28563,28547,28551,28555,28537,28552,28552,28563,28562
330,28552,28563,28562,28550,28562,28558,28543,28547,28555,28562,28570
331,28562,28550,28562,28558,28543,28547,28555,28562,28570,28570,28577
332,28562,28570,28570,28577,28575,28580,28596,28602,28619,28617,28621
333,28621,28621,28611,28605,28618,28616,28616,28663,28640,28635,28630
334,28605,28618,28616,28616,28663,28640,28635,28630,28630,28626,28629
335,28618,28616,28616,28663,28640,28635,28630,28630,28626,28629,28615
336,28663,28640,28635,28630,28630,28626,28629,28615,28607,28606,28616
337,28606,28613,28624,28653,28684,28634,28614,28614,28567,28570,28550
338,28684,28634,28614,28614,28567,28570,28550,28534,28540,28534,28552
339,28552,28541,28550,28547,28542,28533,28530,28495,28496,28502,28525
340,28454,28443,28421,28418,28417,28419,28410,28415,28421,28410,28422
